Scenario_ID,Pop_scenario,Econ_scenario,Climate_scenario,EI_prioritization,Scenario_start,Scenario_end,Step_length
BAU,Ref,Ref_Central,RCP45,Agri_unproductive,2020,2060,5
EI_NAT,Low,Ecolo_Urban,RCP26,Biodiversity,2020,2060,5
EI_CUL,Ref,Ecolo_Central,RCP26,Cultural,2020,2060,5
EI_SOC,Ref,Combined_Urban,RCP45,NCPs,2020,2060,5
GR_EX,High,Ref_Peri_urban,RCP85,NA,2020,2060,5
